LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
30081,MT,Ages 65+ years,2030,1459.2679291436089,1395.3641861374049,1524.4081351955508
30083,MT,Ages 65+ years,2030,1331.9016829188913,1291.9280182292857,1372.9735471315994
30085,MT,Ages 65+ years,2030,2113.306946817243,2083.905208722705,2143.193397304963
30087,MT,Ages 65+ years,2030,1405.2731299117966,1280.9635480088589,1529.8160948851394
30089,MT,Ages 65+ years,2030,1123.3231585019707,868.2786221889667,1387.6706127927878
30091,MT,Ages 65+ years,2030,1392.2929139350842,1360.0254132897387,1421.2711196700134
30093,MT,Ages 65+ years,2030,1929.9310651658707,1869.1152525911384,1990.7584288917922
30095,MT,Ages 65+ years,2030,1335.1765238677438,1326.4820342750006,1343.6434327765276
30097,MT,Ages 65+ years,2030,1392.2929139350842,1361.7280303533962,1424.7877044047777
30099,MT,Ages 65+ years,2030,1186.186582359822,1126.9629869883797,1255.064499702072
30101,MT,Ages 65+ years,2030,1392.2929139350842,1360.6832824218634,1427.5430162778962
30103,MT,Ages 65+ years,2030,1392.2929139350842,1361.3861084496566,1420.8529752866382
30105,MT,Ages 65+ years,2030,1312.7330867765302,1148.9406795891614,1475.5143276740398
30107,MT,Ages 65+ years,2030,1392.2929139350842,1360.6708889445679,1422.8012229512447
30109,MT,Ages 65+ years,2030,1392.2929139350842,1361.6952902328492,1423.7706824264262
30111,MT,Ages 65+ years,2030,1612.3860744522713,1566.5399123004024,1660.7886661092793
31001,NE,Ages 65+ years,2030,974.1327309617998,952.384130153185,997.0537421210881
31003,NE,Ages 65+ years,2030,1305.5720509921796,1274.0956934494736,1338.519646374836
31005,NE,Ages 65+ years,2030,1316.0492731030577,1294.5517418175655,1337.7659049629056
31007,NE,Ages 65+ years,2030,1316.0492731030577,1292.9353799483263,1338.2479456423614
31009,NE,Ages 65+ years,2030,1316.0492731030577,1292.396599452532,1339.1495734584578
31011,NE,Ages 65+ years,2030,1360.9677066216716,1352.2940422077538,1370.2927888477402
31013,NE,Ages 65+ years,2030,1280.1248551125357,1046.0414962869584,1538.496795814768
31015,NE,Ages 65+ years,2030,1316.0492731030577,1292.5049920703957,1337.2816172838518
31017,NE,Ages 65+ years,2030,1316.0492731030577,1292.200332723179,1340.628940310989
31019,NE,Ages 65+ years,2030,1125.1717479932806,821.7891595449107,1446.680636600481
31021,NE,Ages 65+ years,2030,1521.3071288612425,1456.6579662065494,1584.4613046053569
31023,NE,Ages 65+ years,2030,1434.3941373314688,1417.9167646416076,1452.3460085194445
31025,NE,Ages 65+ years,2030,1385.1171183926888,1342.199591083292,1426.4772146716696
